Pos,ID,Name,BV,SV,Team,1_xMins,1_Pts,2_xMins,2_Pts,3_xMins,3_Pts,4_xMins,4_Pts,5_xMins,5_Pts
D,290,Konaté,5.0,5.0,Liverpool,20,0.99,24,1.22,29,1.19,27,1.56,32,1.66
M,291,Jones,5.0,5.0,Liverpool,11,0.63,14,0.78,15,0.74,16,0.92,17,0.94
D,292,Tsimikas,4.5,4.5,Liverpool,5,0.28,7,0.40,8,0.36,9,0.55,10,0.55
M,293,Luis Díaz,8.0,8.0,Liverpool,73,5.12,71,5.12,70,4.02,69,5.58,68,4.89
M,294,Elliott,5.0,5.0,Liverpool,14,0.96,10,0.74,13,0.78,15,1.11,14,0.96
D,295,N.Williams,4.0,4.0,Nott'm Forest,76,2.29,72,2.69,73,2.42,69,2.06,70,0.87
M,296,Carvalho,5.5,5.5,Liverpool,4,0.28,4,0.30,5,0.27,6,0.38,6,0.35
F,297,Darwin,9.0,9.0,Liverpool,66,4.43,60,4.17,59,3.33,61,4.67,59,4.05
D,298,Ramsay,4.0,4.0,Liverpool,1,0.03,1,0.04,2,0.06,3,0.12,2,0.10
D,299,Walker,5.0,5.0,Man City,65,2.91,61,3.50,62,2.83,59,3.10,58,3.35
M,300,Gündogan,7.5,7.5,Man City,24,1.25,28,1.75,28,1.47,32,1.84,32,2.06
M,301,De Bruyne,12.0,12.0,Man City,77,5.00,74,6.36,74,4.88,72,5.52,71,6.15
D,302,Stones,5.5,5.5,Man City,35,1.67,38,2.24,39,1.87,35,1.93,39,2.35
M,303,Mahrez,8.0,8.0,Man City,66,4.26,64,5.35,63,4.11,62,4.75,61,5.27
M,304,Sterling,10.0,10.0,Chelsea,75,4.00,71,3.72,72,3.95,70,4.10,69,3.85
M,305,Grealish,7.0,7.0,Man City,61,3.19,58,3.91,58,3.11,57,3.56,56,3.86
D,306,Cancelo,7.0,7.0,Man City,80,3.87,78,4.91,77,3.81,75,4.28,75,4.77
G,307,Ederson,5.5,5.5,Man City,89,3.92,89,4.48,88,3.94,87,4.16,87,4.43
D,308,Aké,5.0,5.0,Man City,15,0.78,16,0.98,19,0.99,21,1.24,21,1.37
D,309,Laporte,6.0,6.0,Man City,74,3.60,72,4.51,72,3.58,71,4.06,68,4.31
G,310,Steffen,4.0,4.0,Man City,1,0.04,1,0.04,1,0.04,2,0.09,2,0.09
M,311,Bernardo,7.0,7.0,Man City,63,2.74,60,3.24,59,2.65,59,2.97,60,3.30
D,312,Dias,6.0,6.0,Man City,78,3.80,76,4.78,74,3.68,74,4.26,73,4.65
D,313,Zinchenko,5.0,5.0,Arsenal,66,2.56,62,2.75,58,2.68,59,3.12,58,2.70
M,314,Foden,8.0,8.0,Man City,68,3.67,70,4.87,69,3.76,68,4.32,66,4.69
M,315,Rodri,6.0,6.0,Man City,78,2.98,74,3.45,75,2.91,72,3.11,71,3.35
M,316,Palmer,4.5,4.5,Man City,5,0.31,7,0.51,8,0.49,8,0.52,9,0.59
M,317,McAtee,4.5,4.5,Man City,2,0.12,3,0.17,5,0.27,5,0.29,6,0.38
F,318,Haaland,11.5,11.5,Man City,77,5.42,74,7.01,72,5.12,71,5.96,70,6.71
F,319,Álvarez,6.5,6.5,Man City,11,0.70,11,0.91,12,0.82,14,1.06,16,1.36
D,320,Mbete,4.0,4.0,Man City,0,0.02,1,0.04,1,0.04,2,0.09,1,0.07
M,321,Lavia,4.5,4.5,Southampton,5,0.17,6,0.24,7,0.27,8,0.30,9,0.33
D,322,Wilson-Esbrand,4.0,4.0,Man City,1,0.07,2,0.10,2,0.11,4,0.19,3,0.17
F,323,Delap,4.5,4.5,Man City,5,0.33,5,0.45,6,0.40,5,0.40,6,0.55
G,324,Ortega,4.0,4.0,Man City,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,325,Phillips,5.0,5.0,Man City,36,1.42,39,1.78,38,1.51,37,1.62,39,1.84
F,326,Ronaldo,10.5,10.5,Man Utd,56,3.70,53,3.21,53,2.67,52,3.23,48,2.73
G,327,De Gea,5.0,5.0,Man Utd,89,3.76,87,3.51,86,3.07,85,3.50,84,3.25
D,328,Jones,4.0,4.0,Man Utd,0,0.00,0,0.00,0,0.00,1,0.02,0,0.02
D,329,Varane,5.0,5.0,Man Utd,75,3.25,72,2.71,71,1.79,70,2.75,68,2.28
D,330,Maguire,5.0,5.0,Man Utd,60,2.49,63,2.23,61,1.47,58,2.18,59,1.89
M,331,Fred,5.5,5.5,Man Utd,59,2.32,60,2.22,58,1.91,57,2.15,56,2.00
D,332,Shaw,5.0,5.0,Man Utd,23,1.03,23,0.95,25,0.74,24,1.03,28,1.05
M,333,Fernandes,10.0,10.0,Man Utd,83,4.91,82,4.39,81,3.49,80,4.43,80,4.06
D,334,Telles,5.0,5.0,Man Utd,4,0.20,5,0.22,5,0.17,6,0.29,8,0.30
M,335,Rashford,6.5,6.5,Man Utd,65,3.47,63,3.14,63,2.63,62,3.19,62,2.94
M,336,Van de Beek,5.5,5.5,Man Utd,15,0.67,16,0.68,18,0.70,20,0.86,19,0.78
D,337,Lindelöf,4.5,4.5,Man Utd,8,0.30,9,0.30,10,0.26,13,0.48,14,0.44
M,338,McTominay,5.0,5.0,Man Utd,53,1.88,51,1.73,48,1.48,50,1.74,51,1.66
D,339,Bailly,4.0,4.0,Man Utd,3,0.10,4,0.13,5,0.12,7,0.24,6,0.19
M,340,Sancho,7.5,7.5,Man Utd,72,3.78,71,3.42,67,2.75,67,3.37,65,3.04
D,341,Wan-Bissaka,4.5,4.5,Man Utd,19,0.81,19,0.70,21,0.54,22,0.84,23,0.78
D,342,Dalot,4.5,4.5,Man Utd,65,2.78,62,2.29,60,1.51,59,2.29,59,1.96
D,343,B.Williams,4.0,4.0,Man Utd,7,0.32,12,0.44,11,0.31,12,0.47,10,0.35
M,344,Elanga,5.0,5.0,Man Utd,58,3.10,59,2.91,57,2.40,58,2.92,57,2.69
F,345,Martial,7.0,7.0,Man Utd,45,2.41,45,2.27,44,1.96,44,2.25,45,2.19
M,346,Andreas,4.5,4.5,Fulham,73,2.49,70,2.74,67,3.02,65,2.34,67,2.88
M,347,Pellistri,4.5,4.5,Man Utd,1,0.08,1,0.11,2,0.15,3,0.21,3,0.22
G,348,Heaton,4.0,4.0,Man Utd,1,0.03,2,0.07,3,0.11,4,0.16,5,0.19
M,349,Shelvey,5.0,5.0,Newcastle,61,2.31,63,2.00,63,1.79,60,1.93,55,1.49
D,350,Ritchie,4.5,4.5,Newcastle,1,0.07,3,0.11,4,0.12,4,0.15,5,0.15
D,351,Fernández,4.5,4.5,Newcastle,2,0.10,3,0.12,4,0.12,7,0.23,5,0.11
D,352,Clark,4.5,4.5,Newcastle,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
G,353,Darlow,4.0,4.0,Newcastle,0,0.00,0,0.00,0,0.01,0,0.01,0,0.01
F,354,Wood,6.0,6.0,Newcastle,13,0.92,17,0.94,19,0.93,20,1.12,18,0.82
G,355,Dubravka,4.5,4.5,Newcastle,1,0.06,1,0.05,2,0.08,2,0.10,3,0.11
F,356,Wilson,7.5,7.5,Newcastle,77,4.88,73,3.62,69,2.88,69,3.48,68,2.59
D,357,Trippier,5.0,5.0,Newcastle,79,4.25,76,2.77,73,1.80,72,2.74,72,1.31
D,358,Burn,4.5,4.5,Newcastle,34,1.69,32,1.11,32,0.76,38,1.31,37,0.63
M,359,Fraser,5.5,5.5,Newcastle,48,2.90,46,2.24,48,2.01,47,2.30,46,1.81
D,360,Lascelles,4.5,4.5,Newcastle,13,0.58,20,0.65,19,0.46,22,0.76,24,0.43
F,361,Gayle,4.5,4.5,Newcastle,1,0.07,1,0.11,2,0.14,3,0.21,4,0.26
D,362,Dummett,4.0,4.0,Newcastle,0,0.02,1,0.03,2,0.04,1,0.03,2,0.04
D,363,Manquillo,4.5,4.5,Newcastle,5,0.26,7,0.28,9,0.27,9,0.35,8,0.21
D,364,Krafth,4.5,4.5,Newcastle,6,0.29,7,0.25,9,0.23,10,0.35,12,0.22
M,365,Murphy,4.5,4.5,Newcastle,16,0.92,19,0.91,17,0.77,19,0.95,21,0.85
D,366,Schär,4.5,4.5,Newcastle,55,2.75,49,1.68,50,1.18,48,1.74,48,0.85
D,367,Targett,5.0,5.0,Newcastle,80,3.84,77,2.48,75,1.61,71,2.41,69,1.09
M,368,Saint-Maximin,6.5,6.5,Newcastle,77,4.19,73,3.11,75,2.73,71,3.08,71,2.40
M,369,Almirón,5.0,5.0,Newcastle,49,2.63,51,2.19,50,1.93,51,2.23,52,1.84
M,370,S.Longstaff,4.5,4.5,Newcastle,12,0.55,14,0.56,17,0.63,19,0.76,19,0.67
M,371,Joelinton,6.0,6.0,Newcastle,66,2.75,64,2.23,64,2.01,65,2.27,60,1.80
D,372,Lewis,4.5,4.5,Newcastle,6,0.27,8,0.28,10,0.30,11,0.42,12,0.29
M,373,Willock,5.0,5.0,Newcastle,36,1.68,38,1.48,39,1.38,38,1.51,44,1.41
M,374,Bruno Guimarães,6.0,6.0,Newcastle,82,3.95,78,2.98,75,2.52,74,2.86,76,2.33
M,375,Hendrick,4.5,4.5,Newcastle,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
G,376,Pope,5.0,5.0,Newcastle,88,3.98,88,3.44,87,3.04,86,3.37,86,2.98
D,377,Botman,4.5,4.5,Newcastle,81,3.74,79,2.44,77,1.57,72,2.34,71,1.05
M,378,Arter,4.5,4.5,Nott'm Forest,32,1.13,19,0.76,13,0.51,12,0.49,13,0.48
D,379,Cook,4.5,4.5,Nott'm Forest,42,1.03,45,1.33,47,1.25,47,1.12,50,0.46
F,380,Taylor,4.5,4.5,Nott'm Forest,3,0.15,5,0.27,5,0.28,6,0.28,7,0.27
M,381,Colback,4.5,4.5,Nott'm Forest,79,2.25,75,2.31,73,2.18,72,2.09,70,1.78
G,382,Samba,4.5,4.5,Nott'm Forest,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,383,Cafú,4.5,4.5,Nott'm Forest,75,2.28,68,2.27,67,2.14,68,2.11,68,1.82
M,384,Lolley,5.0,5.0,Nott'm Forest,54,2.32,51,2.47,47,2.14,49,2.15,47,1.71
D,385,McKenna,4.5,4.5,Nott'm Forest,63,1.53,62,1.86,60,1.62,58,1.39,62,0.57
D,386,Dräger,4.0,4.0,Nott'm Forest,0,0.01,1,0.03,1,0.04,2,0.07,2,0.04
M,387,Yates,5.0,5.0,Nott'm Forest,24,0.74,58,1.94,78,2.46,79,2.41,77,1.99
D,388,Worrall,4.5,4.5,Nott'm Forest,77,1.75,75,2.13,71,1.84,71,1.61,67,0.55
D,389,Panzo,4.0,4.0,Nott'm Forest,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,390,Xande Silva,5.0,5.0,Nott'm Forest,30,1.38,32,1.56,33,1.53,33,1.51,33,1.26
F,391,Surridge,5.0,5.0,Nott'm Forest,26,1.28,27,1.44,30,1.49,31,1.49,34,1.32
D,392,Laryea,4.5,4.5,Nott'm Forest,10,0.28,13,0.45,14,0.46,15,0.47,17,0.27
D,393,Mbe Soh,4.5,4.5,Nott'm Forest,1,0.02,1,0.04,2,0.06,3,0.08,4,0.05
F,394,Johnson,6.0,6.0,Nott'm Forest,79,3.11,77,3.43,74,3.02,72,2.85,72,2.29
M,395,Mighten,5.0,5.0,Nott'm Forest,4,0.23,6,0.35,8,0.40,8,0.43,9,0.39
M,396,Ojeda,4.5,4.5,Nott'm Forest,43,1.47,30,1.14,21,0.80,19,0.73,19,0.67
F,397,Awoniyi,6.0,6.0,Nott'm Forest,75,3.19,73,3.52,72,3.17,70,2.98,69,2.37
G,398,Henderson,4.5,4.5,Nott'm Forest,88,3.10,86,3.22,86,3.11,86,3.04,85,2.96
D,399,Biancone,4.5,4.5,Nott'm Forest,27,0.89,32,1.25,33,1.15,38,1.18,35,0.55
M,400,Walcott,5.0,5.0,Southampton,13,0.64,14,0.88,15,0.79,16,0.92,16,0.88
G,401,McCarthy,4.5,4.5,Southampton,82,2.83,82,3.29,79,2.84,80,3.00,78,2.78
M,402,Romeu,5.0,5.0,Southampton,78,2.20,75,2.57,73,2.20,72,2.28,69,2.09
M,403,Redmond,5.5,5.5,Southampton,46,1.77,50,2.48,53,2.15,52,2.28,52,2.10
D,404,Stephens,4.5,4.5,Southampton,7,0.17,10,0.38,8,0.23,13,0.39,12,0.34
M,405,S.Armstrong,5.0,5.0,Southampton,62,2.15,59,2.64,58,2.15,56,2.21,56,2.07
M,406,Elyounoussi,5.5,5.5,Southampton,58,2.15,59,2.85,55,2.22,57,2.42,58,2.30
M,407,Ward-Prowse,6.5,6.5,Southampton,84,2.87,83,3.91,79,3.01,78,3.18,79,2.98
F,408,A.Armstrong,5.5,5.5,Southampton,56,2.24,54,2.85,58,2.52,53,2.44,52,2.27
D,409,Walker-Peters,4.5,4.5,Southampton,83,1.74,78,3.04,76,2.06,76,2.38,71,1.91
D,410,Bednarek,4.5,4.5,Southampton,56,1.27,58,2.29,58,1.62,56,1.81,56,1.53
F,411,Adams,6.5,6.5,Southampton,74,2.76,72,3.58,70,2.89,70,3.02,68,2.77
M,412,Tella,5.0,5.0,Southampton,26,1.14,28,1.44,31,1.35,31,1.42,30,1.33
D,413,Lyanco,4.5,4.5,Southampton,45,0.91,42,1.52,44,1.12,40,1.19,45,1.11
D,414,Valery,4.0,4.0,Southampton,22,0.49,27,1.05,29,0.81,30,0.96,34,0.94
M,415,Smallbone,4.5,4.5,Southampton,1,0.06,2,0.15,3,0.22,3,0.23,4,0.25
M,416,Diallo,4.5,4.5,Southampton,14,0.49,16,0.63,18,0.67,22,0.80,21,0.76
D,417,Perraud,4.5,4.5,Southampton,76,1.60,74,2.87,71,1.90,71,2.21,71,1.86
M,418,Djenepo,5.0,5.0,Southampton,4,0.27,6,0.41,7,0.44,8,0.48,10,0.53
D,419,Livramento,4.5,4.5,Southampton,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
D,420,Salisu,4.5,4.5,Southampton,80,1.53,77,2.71,75,1.84,73,2.10,68,1.66
G,421,Lis,4.0,4.0,Southampton,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
G,422,Bazunu,4.5,4.5,Southampton,7,0.23,7,0.27,10,0.35,8,0.31,10,0.37
D,423,Bella-Kotchap,4.5,4.5,Southampton,12,0.28,12,0.46,13,0.36,17,0.52,19,0.52
G,424,Caballero,4.0,4.0,Southampton,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
G,425,Lloris,5.5,5.5,Spurs,88,3.97,87,3.15,87,3.84,87,3.79,87,3.46
G,426,Forster,4.0,4.0,Spurs,1,0.07,2,0.09,2,0.09,2,0.09,2,0.07
F,427,Kane,11.5,11.5,Spurs,85,6.46,82,4.18,82,5.92,79,5.43,79,4.72
M,428,Son,12.0,12.0,Spurs,82,6.37,79,4.01,77,5.70,75,5.31,76,4.59
D,429,Doherty,5.0,5.0,Spurs,59,3.69,57,2.05,56,3.33,55,3.20,55,2.58
D,430,Dier,5.0,5.0,Spurs,65,2.96,63,1.67,65,2.88,64,2.78,62,2.16
M,431,Lucas Moura,6.0,6.0,Spurs,27,1.63,17,0.83,19,1.10,20,1.11,20,1.02
D,432,Davies,5.0,5.0,Spurs,45,2.12,47,1.29,49,2.24,50,2.22,47,1.66
M,433,Højbjerg,5.5,5.5,Spurs,40,1.51,42,1.27,40,1.46,41,1.47,42,1.36
M,434,Winks,4.5,4.5,Spurs,1,0.04,1,0.05,1,0.05,1,0.06,1,0.05
D,435,Sánchez,4.5,4.5,Spurs,14,0.68,15,0.44,19,0.90,21,0.96,20,0.74
D,436,R.Sessegnon,4.5,4.5,Spurs,23,1.37,23,0.92,23,1.30,25,1.39,27,1.28
M,437,Bergwijn,5.5,5.5,Spurs,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
D,438,Reguilón,4.5,4.5,Spurs,3,0.13,4,0.13,3,0.16,6,0.30,5,0.23
D,439,Tanganga,4.0,4.0,Spurs,0,0.02,1,0.04,1,0.07,2,0.09,2,0.07
M,440,Bentancur,5.5,5.5,Spurs,65,2.51,62,1.95,64,2.43,61,2.28,58,2.00
M,441,Skipp,4.5,4.5,Spurs,21,0.84,22,0.75,25,0.96,27,1.04,27,0.96
D,442,Rodon,4.0,4.0,Spurs,0,0.01,1,0.02,1,0.08,2,0.09,2,0.09
D,443,Romero,5.0,5.0,Spurs,79,3.72,77,2.07,71,3.24,70,3.10,73,2.57
M,444,Bissouma,5.0,5.0,Spurs,54,2.32,53,1.81,51,2.10,49,2.02,52,1.91
D,445,Emerson Royal,5.0,5.0,Spurs,12,0.58,12,0.41,14,0.72,15,0.75,16,0.68
M,446,Kulusevski,8.0,8.0,Spurs,69,3.95,60,2.52,59,3.26,58,3.13,60,2.86
F,447,Scarlett,4.5,4.5,Spurs,2,0.12,1,0.04,1,0.06,1,0.09,1,0.07
D,448,Perišić,5.5,5.5,Spurs,68,4.34,66,2.45,64,3.94,62,3.71,63,3.05
M,449,White,4.5,4.5,Spurs,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,450,Sarr,4.5,4.5,Spurs,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
G,451,Austin,4.0,4.0,Spurs,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,452,Devine,4.5,4.5,Spurs,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
F,453,Parrott,4.5,4.5,Spurs,2,0.11,1,0.04,1,0.07,2,0.12,1,0.09
F,454,Richarlison,8.5,8.5,Spurs,0,0.00,44,1.83,44,2.43,47,2.51,45,2.18
G,455,Fabianski,5.0,5.0,West Ham,88,3.08,87,3.66,86,3.58,86,3.26,86,3.25
D,456,Ogbonna,4.5,4.5,West Ham,19,0.46,23,0.97,23,0.95,24,0.81,24,0.82
D,457,Cresswell,5.0,5.0,West Ham,77,1.82,75,3.30,73,3.28,71,2.47,71,2.45
F,458,Antonio,7.5,7.5,West Ham,74,2.92,70,3.62,69,3.58,66,2.99,65,3.01
D,459,Dawson,5.0,5.0,West Ham,10,0.28,13,0.59,14,0.68,18,0.67,19,0.72
M,460,Lanzini,5.5,5.5,West Ham,56,2.24,51,2.62,53,2.71,55,2.46,55,2.44
D,461,Zouma,4.5,4.5,West Ham,83,1.76,80,3.16,79,3.14,77,2.43,79,2.45
D,462,Masuaku,4.5,4.5,West Ham,7,0.26,11,0.58,13,0.72,14,0.62,15,0.64
D,463,Coufal,4.5,4.5,West Ham,81,1.77,78,3.15,78,3.14,77,2.49,77,2.44
M,464,Benrahma,6.0,6.0,West Ham,48,2.15,49,2.80,50,2.94,52,2.60,48,2.49
M,465,Bowen,8.5,8.5,West Ham,77,3.25,74,4.33,73,4.31,73,3.67,71,3.66
M,466,Vlasic,5.0,5.0,West Ham,32,1.45,37,2.03,37,2.07,39,1.89,41,2.02
M,467,Rice,5.0,5.0,West Ham,85,2.29,82,2.67,79,2.59,75,2.28,74,2.24
M,468,Soucek,5.5,5.5,West Ham,85,2.51,84,3.06,83,3.07,82,2.71,81,2.67
M,469,Fornals,5.5,5.5,West Ham,67,2.40,68,3.09,67,3.09,65,2.66,66,2.71
D,470,Diop,4.5,4.5,West Ham,2,0.05,3,0.12,4,0.15,5,0.18,5,0.16
D,471,Johnson,4.5,4.5,West Ham,21,0.57,24,1.03,25,1.08,29,1.05,29,1.04
D,472,Aguerd,5.0,5.0,West Ham,74,1.63,71,2.86,71,2.89,68,2.19,65,2.06
G,473,Areola,4.5,4.5,West Ham,1,0.04,2,0.10,3,0.11,3,0.13,3,0.12
D,474,Boly,4.5,4.5,Wolves,80,2.42,76,3.20,73,1.56,73,2.61,70,2.47
D,475,Coady,5.0,5.0,Wolves,83,2.66,81,3.59,80,1.80,79,2.96,79,2.94
F,476,Jiménez,7.0,7.0,Wolves,75,3.70,72,4.31,67,2.80,69,3.68,66,3.46
D,477,Jonny,4.5,4.5,Wolves,74,2.83,71,3.77,68,1.83,68,2.99,69,3.01
G,478,Sá,5.0,5.0,Wolves,88,3.37,87,3.80,87,3.05,87,3.54,86,3.50
M,479,Dendoncker,5.0,5.0,Wolves,44,1.57,40,1.68,44,1.40,44,1.66,47,1.73
M,480,Neves,5.5,5.5,Wolves,80,2.90,78,3.40,76,2.48,76,2.99,76,2.96
M,481,Hwang,6.0,6.0,Wolves,49,2.40,50,2.89,49,2.06,49,2.61,50,2.58
D,482,Semedo,5.0,5.0,Wolves,45,1.60,65,3.18,71,1.80,73,3.01,68,2.80
M,483,Podence,5.5,5.5,Wolves,27,1.36,28,1.66,28,1.27,30,1.61,28,1.47
D,484,Kilman,4.5,4.5,Wolves,42,1.29,66,2.81,72,1.56,70,2.50,70,2.50
